sample,ftc,Breadth3d (mm),,Bin,Frequency,,,sample,ftc,Breadth3d (mm),,Bin,Frequency,
28-38-28,pre,0.0727759,,,,,,28-38-28,post,0.846372,,,,
28-38-28,pre,0.0331688,,,,,,28-38-28,post,0.104755,,,,
28-38-28,pre,0.0713392,,,,,,28-38-28,post,0.26387,,,,
28-38-28,pre,0.0983078,,,,,,28-38-28,post,0.0298386,,,,
28-38-28,pre,0.0897564,,,,,,28-38-28,post,0.0278031,,,,
28-38-28,pre,0.0489099,,,,,,28-38-28,post,0.0250515,,,,
28-38-28,pre,0.0618256,,,,,,28-38-28,post,0.0428387,,,,
28-38-28,pre,0.0599131,,,,,,28-38-28,post,0.0353227,,,,
,,,,,,,,28-38-28,post,0.0412972,,,,
,,,,,,,,28-38-28,post,0.0474737,,,,
,,,,,,,,28-38-28,post,0.0408332,,,,
,,,,,,,,28-38-28,post,0.118359,,,,
,,,,,,,,28-38-28,post,0.118493,,,,
,,,,,,,,28-38-28,post,0.0487901,,,,
,,,,,,,,28-38-28,post,0.301896,,,,
,,,,,,,,28-38-28,post,0.0249064,,,,
,,,,,,,,28-38-28,post,0.0869706,,,,
,,,,,,,,28-38-28,post,0.0333895,,,,
,,,,,,,,28-38-28,post,0.324704,,,,
,,,,,,,,28-38-28,post,0.0272759,,,,
,,,,,,,,28-38-28,post,0.0416857,,,,
,,,,,,,,28-38-28,post,0.0438357,,,,
,,,,,,,,28-38-28,post,0.193177,,,,
,,,,,,,,28-38-28,post,0.0327845,,,,
,,,,,,,,28-38-28,post,0.0380326,,,,
,,,,,,,,28-38-28,post,0.0528474,,,,
,,,,,,,,28-38-28,post,0.020984,,,,
,,,,,,,,28-38-28,post,0.117922,,,,
,,,,,,,,28-38-28,post,0.153946,,,,
,,,,,,,,28-38-28,post,0.0941491,,,,
,,,,,,,,28-38-28,post,0.0325949,,,,
,,,,,,,,28-38-28,post,0.0207652,,,,
,,,,,,,,28-38-28,post,0.0358872,,,,
,,,,,,,,28-38-28,post,0.0736945,,,,
,,,,,,,,28-38-28,post,0.0355682,,,,
,,,,,,,,28-38-28,post,0.0739317,,,,
,,,,,,,,28-38-28,post,0.180593,,,,
,,,,,,,,28-38-28,post,0.0687946,,,,
,,,,,,,,28-38-28,post,0.0266646,,,,
,,,,,,,,28-38-28,post,0.033392,,,,
,,,,,,,,28-38-28,post,0.030079,,,,
,,,,,,,,28-38-28,post,0.0648286,,,,
,,,,,,,,28-38-28,post,0.0249077,,,,
,,,,,,,,28-38-28,post,0.0647249,,,,
,,,,,,,,28-38-28,post,0.0603132,,,,
,,,,,,,,28-38-28,post,0.637248,,,,
,,,,,,,,28-38-28,post,0.0333213,,,,
,,,,,,,,28-38-28,post,0.0253913,,,,
,,,,,,,,28-38-28,post,0.0739676,,,,
,,,,,,,,28-38-28,post,0.0521306,,,,
,,,,,,,,28-38-28,post,0.024414,,,,
,,,,,,,,28-38-28,post,0.0300834,,,,
,,,,,,,,28-38-28,post,0.0240272,,,,
,,,,,,,,28-38-28,post,0.0271495,,,,
,,,,,,,,28-38-28,post,0.0852014,,,,
,,,,,,,,28-38-28,post,0.0443638,,,,
,,,,,,,,28-38-28,post,0.0353536,,,,
,,,,,,,,28-38-28,post,0.0839689,,,,
,,,,,,,,28-38-28,post,0.0430852,,,,
,,,,,,,,28-38-28,post,0.0545752,,,,
,,,,,,,,28-38-28,post,0.0345073,,,,
,,,,,,,,28-38-28,post,0.0395008,,,,
,,,,,,,,28-38-28,post,0.0332613,,,,
,,,,,,,,28-38-28,post,0.0590123,,,,
,,,,,,,,28-38-28,post,0.0361449,,,,
,,,,,,,,28-38-28,post,0.0606651,,,,
,,,,,,,,28-38-28,post,0.0517868,,,,
,,,,,,,,28-38-28,post,0.037627,,,,
,,,,,,,,28-38-28,post,0.11756,,,,
,,,,,,,,28-38-28,post,0.0401623,,,,
,,,,,,,,28-38-28,post,0.245635,,,,
