site,sample,trmt,breadth_mm3,Pc
tool,41_50_16,before,0.0671536,-0.048028064
tool,41_50_16,before,0.0670281,-0.048020828
tool,41_50_28,before,0.0669385,-0.048015663
tool,41_50_16,before,0.066906,-0.04801379
tool,28_38_12,after,0.0668393,-0.048009946
tool,28_38_28,after,0.0668355,-0.048009727
tool,41_50_16,after,0.0668324,-0.048009548
tool,41_50_16,before,0.0668172,-0.048008672
tool,41_50_16,after,0.0667978,-0.048007554
tool,28_38_12,before,0.0667315,-0.048003735
tool,41_50_16,before,0.0666916,-0.048001436
tool,41_50_16,before,0.0666788,-0.048000699
tool,40_50_16,before,0.0664188,-0.047985727
tool,28_38_28,after,0.0663959,-0.047984409
tool,40_50_28,before,0.0663251,-0.047980334
tool,41_50_16,before,0.0661722,-0.047971536
tool,40_50_16,before,0.0660606,-0.047965116
tool,28_38_28,after,0.0659851,-0.047960774
tool,41_50_16,before,0.0658915,-0.047955392
tool,28_38_12,before,0.0658904,-0.047955329
tool,28_38_12,before,0.0658903,-0.047955323
tool,41_50_16,before,0.0658851,-0.047955024
tool,28_38_28,after,0.0658699,-0.04795415
tool,28_38_28,after,0.0658078,-0.04795058
tool,40_50_16,before,0.06578,-0.047948982
tool,28_38_28,after,0.0657592,-0.047947787
tool,28_38_12,before,0.0657259,-0.047945873
tool,40_50_16,before,0.0656803,-0.047943252
tool,41_50_16,before,0.0656297,-0.047940345
tool,40_50_16,before,0.0656223,-0.04793992
tool,28_38_28,after,0.0655946,-0.047938328
tool,40_50_16,before,0.0655272,-0.047934456
tool,41_50_16,before,0.0655222,-0.047934169
tool,40_50_16,before,0.0655033,-0.047933083
tool,41_50_28,before,0.0654936,-0.047932526
tool,41_50_16,before,0.0654092,-0.047927679
tool,41_50_16,before,0.0653911,-0.04792664
tool,41_50_28,before,0.0653794,-0.047925968
tool,28_38_12,before,0.0653208,-0.047922603
tool,41_50_16,before,0.0652237,-0.047917029
tool,28_38_28,before,0.0652019,-0.047915777
tool,41_50_28,before,0.0651746,-0.047914211
tool,28_38_12,after,0.0650883,-0.047909258
tool,28_38_12,after,0.0650536,-0.047907267
tool,41_50_16,before,0.0650295,-0.047905884
tool,41_50_16,before,0.0650061,-0.047904542
tool,41_50_28,before,0.0649802,-0.047903056
tool,41_50_16,before,0.0649494,-0.047901289
tool,41_50_16,before,0.0648851,-0.047897601
tool,28_38_28,after,0.0648286,-0.04789436
tool,28_38_12,after,0.0647995,-0.047892692
tool,41_50_16,after,0.0647509,-0.047889905
tool,28_38_28,after,0.0647249,-0.047888414
tool,41_50_28,before,0.0647121,-0.04788768
tool,28_38_12,before,0.0647106,-0.047887594
tool,41_50_16,before,0.0646097,-0.04788181
tool,41_50_16,before,0.0645719,-0.047879644
tool,41_50_28,before,0.0645697,-0.047879518
tool,40_50_16,before,0.0645325,-0.047877386
tool,28_38_28,before,0.0645031,-0.047875701
