sample,ftc,volume_mm3,breadth_mm3,surface_calc_area_mm3,surface_calc_vol_mm3,shape_factor
40-50-16,before,0.000283511,0.0750769,0.046687,0.0002,0.354248609
40-50-16,before,3.85E-05,0.054383,0.005933,0.000009,0.35267238
40-50-16,before,0.000354939,0.115083,0.057686,0.00027,0.350205429
40-50-16,before,0.000203293,0.120526,0.036629,0.000136,0.349155055
40-50-16,before,0.000235161,0.0766468,0.042723,0.00017,0.347366818
40-50-16,before,4.94E-05,0.0655272,0.008125,0.000014,0.345737201
40-50-16,before,0.000340653,0.0939115,0.059508,0.000277,0.345325474
40-50-16,before,0.000386806,0.228446,0.066475,0.000322,0.341766659
40-50-16,before,0.000364829,0.102864,0.06093,0.000282,0.341312624
40-50-16,before,0.000116481,0.0839499,0.01943,0.000049,0.333279584
40-50-16,before,0.000416476,0.0984206,0.071385,0.000343,0.331950434
40-50-16,before,0.000482409,0.13852,0.083676,0.000428,0.328230594
40-50-16,before,0.000204392,0.0656803,0.032913,0.000104,0.324941774
40-50-16,before,0.000215381,0.166967,0.042402,0.000152,0.324833024
40-50-16,before,0.00051098,0.241479,0.082599,0.000413,0.324695325
40-50-16,before,0.000474717,0.110883,0.079504,0.00039,0.324691971
40-50-16,before,0.000165931,0.0827423,0.028133,0.00008,0.319149917
40-50-16,before,0.000214282,0.0631601,0.038032,0.000124,0.316190936
40-50-16,before,0.000337357,0.11667,0.056257,0.000223,0.316114292
40-50-16,before,0.000558232,0.185055,0.091507,0.000447,0.308959454
40-50-16,before,0.00075603,0.172338,0.117915,0.000627,0.300441621
40-50-16,before,0.000396696,0.078766,0.069958,0.00028,0.295859437
40-50-16,before,0.000807678,0.142738,0.130177,0.000699,0.292595729
40-50-16,before,0.00072636,0.147666,0.118703,0.000579,0.283014143
40-50-16,before,0.000243952,0.178271,0.040525,0.000115,0.282201723
40-50-16,before,0.000478013,0.110675,0.083035,0.000337,0.28203924
40-50-16,before,0.000178019,0.10543,0.030463,0.000073,0.277285203
40-50-16,before,0.00118459,0.211382,0.186387,0.001056,0.269057097
40-50-16,before,0.000732954,0.129771,0.12137,0.000547,0.266500272
40-50-16,before,0.00125053,0.21627,0.194926,0.001109,0.26580841
40-50-16,before,9.78E-05,0.111952,0.016757,0.000026,0.253281471
40-50-16,before,0.00127031,0.301149,0.20575,0.001117,0.253034494
40-50-16,before,0.000850534,0.209787,0.14706,0.000671,0.252041028
40-50-16,before,0.00079559,0.294075,0.131025,0.000562,0.251354983
40-50-16,before,0.000899984,0.162738,0.150098,0.000653,0.242503497
40-50-16,before,0.00129778,0.339804,0.216661,0.001116,0.240148297
40-50-16,before,0.00212743,0.422276,0.325126,0.00201,0.236898946
40-50-16,before,0.00140986,0.190432,0.232442,0.001175,0.231665537
40-50-16,before,0.00103734,0.182937,0.178269,0.000785,0.230845493
40-50-16,before,0.00141975,0.21065,0.236992,0.001197,0.230045216
40-50-16,before,0.00159777,0.289703,0.286524,0.001527,0.223811541
40-50-16,before,0.00184172,0.290259,0.294568,0.001543,0.219217814
